concept_id,indicator,technical_interpretation,original_mapping_notes,mapped_providers,comparability_decisions
investment_fixed_capital_nominal,Fixed-capital investment levels,"Statistical investment directed to fixed capital in macro/Oxlon differs from SNA fixed-capital formation in CAEM. The original CAEM 5a row 11 includes row 16 inventories despite its label; row 12 excludes inventories. Equal million-AZN units do not establish equal perimeter, asset coverage or timing.",,3,"[{""models"":[""ministry_macro"",""ministry_caem""],""comparable_definition"":false,""comparable_vintage"":false,""reason"":""Different or unresolved definition, classification, measurement or coverage; do not alias""},{""models"":[""ministry_macro"",""oxlon.corrected.20260917""],""comparable_definition"":true,""comparable_vintage"":false,""reason"":""Same governed definition; different retained source/revision periods""},{""models"":[""ministry_caem"",""oxlon.corrected.20260917""],""comparable_definition"":false,""comparable_vintage"":false,""reason"":""Different or unresolved definition, classification, measurement or coverage; do not alias""}]"
investment_fixed_capital_real_growth,Investment volume growth,Macro/Oxlon statistical investment-volume growth and CAEM expenditure-account real fixed-capital formation have different measurement boundaries and price bases. Compare levels and their source-specific deflators alongside growth; do not infer comparable investment merely from matching percentage units.,Oxlon 2024 investment level/growth and CAEM 2024 fixed formation/growth differ despite both being described as investment.,3,"[{""models"":[""ministry_macro"",""ministry_caem""],""comparable_definition"":false,""comparable_vintage"":false,""reason"":""Different or unresolved definition, classification, measurement or coverage; do not alias""},{""models"":[""ministry_macro"",""oxlon.corrected.20260917""],""comparable_definition"":true,""comparable_vintage"":false,""reason"":""Same governed definition; different retained source/revision periods""},{""models"":[""ministry_caem"",""oxlon.corrected.20260917""],""comparable_definition"":false,""comparable_vintage"":false,""reason"":""Different or unresolved definition, classification, measurement or coverage; do not alias""}]"
exports_goods_services,Goods and services exports,"Macro and CAEM rows are BoP goods-and-services exports in million USD; the mapped Oxlon row is national-account P.6 in million AZN. Currency conversion alone does not reconcile valuation, residence/ownership adjustments, goods/services coverage or revision vintages. Customs merchandise totals remain separate.",BoP versus national-account measurement cannot be repaired by FX conversion alone. Services must not be removed or customs merchandise aliased.,3,"[{""models"":[""ministry_macro"",""ministry_caem""],""comparable_definition"":true,""comparable_vintage"":false,""reason"":""Same governed definition; different retained source/revision periods""},{""models"":[""ministry_macro"",""oxlon.corrected.20260917""],""comparable_definition"":false,""comparable_vintage"":false,""reason"":""Different or unresolved definition, classification, measurement or coverage; do not alias""},{""models"":[""ministry_caem"",""oxlon.corrected.20260917""],""comparable_definition"":false,""comparable_vintage"":false,""reason"":""Different or unresolved definition, classification, measurement or coverage; do not alias""}]"
exports_goods_bop_nonoil,Non-oil BoP goods exports,"This concept is non-oil BoP goods exports, not customs merchandise exports or exports including services. Oil/non-oil classification and BoP source revisions must match. The intended CAEM source row is not in the normalized saved export, so the overview must not fill the gap using a different category.",BoP goods not customs merchandise; oil/non-oil classifications require validation before mixing revisions.,3,"[{""models"":[""ministry_macro"",""ministry_caem""],""comparable_definition"":true,""comparable_vintage"":false,""reason"":""Same governed definition; different retained source/revision periods""},{""models"":[""ministry_macro"",""oxlon.corrected.20260917""],""comparable_definition"":true,""comparable_vintage"":false,""reason"":""Same governed definition; different retained source/revision periods""},{""models"":[""ministry_caem"",""oxlon.corrected.20260917""],""comparable_definition"":true,""comparable_vintage"":false,""reason"":""Same governed definition; different retained source/revision periods""}]"
imports_goods_services,Goods and services imports,Macro and CAEM rows are BoP goods-and-services imports in million USD; Oxlon P.7 is national-account imports in million AZN. Match source valuation and statistical adjustments before converting currency or ranking gaps. Removing services or substituting customs goods would change the target.,BoP versus national-account measurement cannot be repaired by FX conversion alone. Services must not be removed or customs merchandise aliased.,3,"[{""models"":[""ministry_macro"",""ministry_caem""],""comparable_definition"":true,""comparable_vintage"":false,""reason"":""Same governed definition; different retained source/revision periods""},{""models"":[""ministry_macro"",""oxlon.corrected.20260917""],""comparable_definition"":false,""comparable_vintage"":false,""reason"":""Different or unresolved definition, classification, measurement or coverage; do not alias""},{""models"":[""ministry_caem"",""oxlon.corrected.20260917""],""comparable_definition"":false,""comparable_vintage"":false,""reason"":""Different or unresolved definition, classification, measurement or coverage; do not alias""}]"
imports_goods_bop_nonoil,Non-oil BoP goods imports,This concept is non-oil BoP goods imports. Keep customs versus BoP measurement and oil/non-oil coverage separate. The intended CAEM source row has no normalized saved result in this comparison; a blank is not zero or evidence of no economic imports.,BoP goods not customs merchandise; oil/non-oil classifications require validation before mixing revisions.,3,"[{""models"":[""ministry_macro"",""ministry_caem""],""comparable_definition"":true,""comparable_vintage"":false,""reason"":""Same governed definition; different retained source/revision periods""},{""models"":[""ministry_macro"",""oxlon.corrected.20260917""],""comparable_definition"":true,""comparable_vintage"":false,""reason"":""Same governed definition; different retained source/revision periods""},{""models"":[""ministry_caem"",""oxlon.corrected.20260917""],""comparable_definition"":true,""comparable_vintage"":false,""reason"":""Same governed definition; different retained source/revision periods""}]"
customs_merchandise_total,Customs merchandise total,No provider has a verified separate monetary customs-total mapping here. BoP-linked statutory trade and country/product concentration counts cannot supply this missing customs series. Obtain and validate a distinct customs release before adding monetary totals or comparisons.,,3,"[{""models"":[""ministry_macro"",""ministry_caem""],""comparable_definition"":false,""comparable_vintage"":false,""reason"":""Different or unresolved definition, classification, measurement or coverage; do not alias""},{""models"":[""ministry_macro"",""oxlon.corrected.20260917""],""comparable_definition"":false,""comparable_vintage"":false,""reason"":""Different or unresolved definition, classification, measurement or coverage; do not alias""},{""models"":[""ministry_caem"",""oxlon.corrected.20260917""],""comparable_definition"":false,""comparable_vintage"":false,""reason"":""Different or unresolved definition, classification, measurement or coverage; do not alias""}]"
fiscal_revenue,Fiscal revenue perimeter,"Macro and Oxlon target state-budget revenue; the intended CAEM mapping is general-government/consolidated revenue. Institutional coverage, transfers, consolidation and source accounting conventions differ. CAEM state-budget-only source rows exist separately and need their own approved mapping; its summary revenue/GDP ratio cannot silently replace an amount or a state-budget total.","CAEM 3a C36/C65/C116 general government, C140 consolidated expenditure; source Fiscal sector rows166/175 consolidated budget. State-budget-only CAEM row306 exists separately; no alias of consolidated and state revenue.",3,"[{""models"":[""ministry_macro"",""ministry_caem""],""comparable_definition"":false,""comparable_vintage"":false,""reason"":""Different or unresolved definition, classification, measurement or coverage; do not alias""},{""models"":[""ministry_macro"",""oxlon.corrected.20260917""],""comparable_definition"":true,""comparable_vintage"":false,""reason"":""Same governed definition; different retained source/revision periods""},{""models"":[""ministry_caem"",""oxlon.corrected.20260917""],""comparable_definition"":false,""comparable_vintage"":false,""reason"":""Different or unresolved definition, classification, measurement or coverage; do not alias""}]"
fiscal_expenditure,Fiscal expenditure perimeter,"Macro/Oxlon state-budget expenditure and CAEM consolidated/general-government expenditure have different institutional perimeters. Confirm whether expense, capital acquisition, transfers and net lending are included before comparing totals. A summary percentage-of-GDP row is a different unit from million AZN.","CAEM 3a C36/C65/C116 general government, C140 consolidated expenditure; source Fiscal sector rows166/175 consolidated budget. State-budget-only CAEM row306 exists separately; no alias of consolidated and state revenue.",3,"[{""models"":[""ministry_macro"",""ministry_caem""],""comparable_definition"":false,""comparable_vintage"":false,""reason"":""Different or unresolved definition, classification, measurement or coverage; do not alias""},{""models"":[""ministry_macro"",""oxlon.corrected.20260917""],""comparable_definition"":true,""comparable_vintage"":false,""reason"":""Same governed definition; different retained source/revision periods""},{""models"":[""ministry_caem"",""oxlon.corrected.20260917""],""comparable_definition"":false,""comparable_vintage"":false,""reason"":""Different or unresolved definition, classification, measurement or coverage; do not alias""}]"
fiscal_balance,Fiscal balance perimeter,"A revenue-minus-expenditure state-budget balance cannot be directly equated with consolidated/general-government net lending or borrowing. Check both perimeter and surplus/deficit sign. Oxlon 2025 is derived model history in the saved output, not a located independently observed official balance; the underlying release locator remains absent.","CAEM 3a C36/C65/C116 general government, C140 consolidated expenditure; source Fiscal sector rows166/175 consolidated budget. State-budget-only CAEM row306 exists separately; no alias of consolidated and state revenue.",3,"[{""models"":[""ministry_macro"",""ministry_caem""],""comparable_definition"":false,""comparable_vintage"":false,""reason"":""Different or unresolved definition, classification, measurement or coverage; do not alias""},{""models"":[""ministry_macro"",""oxlon.corrected.20260917""],""comparable_definition"":true,""comparable_vintage"":false,""reason"":""Same governed definition; different retained source/revision periods""},{""models"":[""ministry_caem"",""oxlon.corrected.20260917""],""comparable_definition"":false,""comparable_vintage"":false,""reason"":""Different or unresolved definition, classification, measurement or coverage; do not alias""}]"
current_account_balance,BoP current account balance,"Use the BoP current-account amount in million USD: goods/services balance plus net primary and secondary income. CAEM’s canonical current_account series is a percentage of GDP; its exact USD level is the separate External USD row 20. The resolved amount mapping uses that existing exported row, without changing the underlying results.","CAEM canonical current_account is %GDP, not mlnUSD; exact level uses 2a row20. Conversion uses compatible current GDP and annual-average AZN/USD; never mix vintages.",3,"[{""models"":[""ministry_macro"",""ministry_caem""],""comparable_definition"":true,""comparable_vintage"":false,""reason"":""Same governed definition; different retained source/revision periods""},{""models"":[""ministry_macro"",""oxlon.corrected.20260917""],""comparable_definition"":true,""comparable_vintage"":false,""reason"":""Same governed definition; different retained source/revision periods""},{""models"":[""ministry_caem"",""oxlon.corrected.20260917""],""comparable_definition"":true,""comparable_vintage"":false,""reason"":""Same governed definition; different retained source/revision periods""}]"
current_account_ratio_gdp,BoP current account ratio,"A whole-economy current-account/GDP ratio requires same-vintage current-account amount, current-price GDP and annual-average FX if the numerator and denominator currencies differ. CAEM directly publishes the ratio. Other engines have no approved direct mapping here; a non-oil current-account ratio is a different target.",,3,"[{""models"":[""ministry_macro"",""ministry_caem""],""comparable_definition"":false,""comparable_vintage"":false,""reason"":""Different or unresolved definition, classification, measurement or coverage; do not alias""},{""models"":[""ministry_macro"",""oxlon.corrected.20260917""],""comparable_definition"":false,""comparable_vintage"":false,""reason"":""Different or unresolved definition, classification, measurement or coverage; do not alias""},{""models"":[""ministry_caem"",""oxlon.corrected.20260917""],""comparable_definition"":false,""comparable_vintage"":false,""reason"":""Different or unresolved definition, classification, measurement or coverage; do not alias""}]"
financial_account_excluding_reserves,Financial account excluding reserve assets,"CAEM preserves net acquisition of assets minus net incurrence of liabilities, excluding separately reported reserve assets. The macro source sign convention needs owner confirmation before aliasing categories or interpreting inward FDI. Oxlon has no verified canonical financial-account total. A zero overall BoP identity does not demonstrate separately estimated financial flows.","CAEM row110=assets(row111)-liabilities(row113), portfolio row115 analogous. Ministry signed finance total is preserved, but no blanket inward-FDI sign alias is approved. BoP total balance zero is an identity, not evidence that each original financial category is estimated.",3,"[{""models"":[""ministry_macro"",""ministry_caem""],""comparable_definition"":false,""comparable_vintage"":false,""reason"":""Different or unresolved definition, classification, measurement or coverage; do not alias""},{""models"":[""ministry_macro"",""oxlon.corrected.20260917""],""comparable_definition"":false,""comparable_vintage"":false,""reason"":""Different or unresolved definition, classification, measurement or coverage; do not alias""},{""models"":[""ministry_caem"",""oxlon.corrected.20260917""],""comparable_definition"":false,""comparable_vintage"":false,""reason"":""Different or unresolved definition, classification, measurement or coverage; do not alias""}]"
nonoil_gdp_nominal_production_reclassified,Non-oil market GDP separate production partition,Oxlon FR2 adds non-oil mining within its separate production partition. Its canonical official/raw nonoil_nom is a distinct source object. Ministry and CAEM retained partitions must not be relabelled to this revised classification without a component/tax bridge.,Canonical official/raw nonoil_nom is a different Oxlon source-series object; no alias.,3,"[{""models"":[""ministry_macro"",""ministry_caem""],""comparable_definition"":true,""comparable_vintage"":false,""reason"":""Same governed definition; different retained source/revision periods""},{""models"":[""ministry_macro"",""oxlon.corrected.20260917""],""comparable_definition"":false,""comparable_vintage"":false,""reason"":""Different or unresolved definition, classification, measurement or coverage; do not alias""},{""models"":[""ministry_caem"",""oxlon.corrected.20260917""],""comparable_definition"":false,""comparable_vintage"":false,""reason"":""Different or unresolved definition, classification, measurement or coverage; do not alias""}]"
gdp_nominal_expenditure_caem,CAEM nominal expenditure GDP counterpart,This counterpart resolves to the same existing CAEM 5a row 24 expenditure result used for canonical nominal GDP. The separate production-book row 85 has a retained current-price difference. Solving GDP-growth and deflator residuals does not prove equality of these nominal source accounts; both totals and their difference are shown below.,CAEM production-source row85 and expenditure-source5a row24 must remain separately visible until current-price accounting reconciliation is confirmed.,3,"[{""models"":[""ministry_macro"",""ministry_caem""],""comparable_definition"":false,""comparable_vintage"":false,""reason"":""Different or unresolved definition, classification, measurement or coverage; do not alias""},{""models"":[""ministry_macro"",""oxlon.corrected.20260917""],""comparable_definition"":false,""comparable_vintage"":false,""reason"":""Different or unresolved definition, classification, measurement or coverage; do not alias""},{""models"":[""ministry_caem"",""oxlon.corrected.20260917""],""comparable_definition"":false,""comparable_vintage"":false,""reason"":""Different or unresolved definition, classification, measurement or coverage; do not alias""}]"
